frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,Pitch,Roll,Yaw,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input,frame
0,273.1241303,118.6092265,119.2139045,155.8404625,0.999479234,280.7062476,278.9616353,279.0371812,280.353319,283.7024144,290.2404233,298.6949694,308.7093063,321.3524411,335.3913951,348.9964964,361.7114096,373.0101723,381.3832257,387.5947012,391.8550015,394.4458342,289.0282273,298.9463526,309.4269118,318.7096208,326.6537315,354.5767634,363.3912436,372.2303243,380.7924125,387.4633499,338.0617363,336.5787175,334.9697646,333.4927538,318.0765286,323.9432961,330.2548511,336.8544727,343.1301301,296.1347731,305.0791666,314.4851121,320.7917738,311.5325674,302.2006742,353.1516845,362.0111634,371.0756948,377.5889973,370.2926699,361.3399722,303.2704615,312.8470834,322.235239,327.2727735,333.4073153,341.6117544,349.0119344,340.7144882,331.5367801,324.6121744,318.1308403,310.1659244,306.5015815,320.7127724,326.3889501,332.7511273,346.0123121,332.6719978,326.1879773,320.3231103,169.7536687,185.3851009,201.3651535,217.6262615,233.7044542,248.3101615,260.6605482,270.5108353,274.8163907,274.1042804,267.1875721,257.7542227,246.5135114,233.3965634,218.6061015,202.9254404,187.1383964,162.8064299,160.5226743,162.9100485,168.1338925,174.0398402,178.160251,175.3160231,173.7860103,173.7938241,177.1139105,191.2225919,202.2019606,212.9047938,223.5064161,228.1474612,231.1746156,233.6183468,232.6456852,231.2418406,180.4305638,177.7067914,180.2850006,188.8150146,189.3028892,187.0758306,193.8349263,188.1197634,188.9463157,194.1084912,198.3367173,197.5346764,244.1091721,243.4545224,243.4958651,245.9628816,244.7402245,247.0717878,249.3462025,257.3866866,261.022433,261.1184719,259.471041,253.9622348,245.7186266,249.9973522,251.4475332,251.1566744,249.981067,251.9471229,252.0521794,250.492695,-9.823253483,11.1628562,0.608180448,0.29981428,0.58416957,0.45297578,0.6256191,0.08692915,0,0.12791668,0.2506716,0.45877263,0.16790292,0.39283442,0.20606497,0.37684673,1,0.39315528,0.5951158,0.03428409,0.07091796,0.10524823,0.019447358,0.008433132,0.000163642,0.001929819,0.003282048,0.02612105,0.523105,0.43696526,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,0
10,272.5685582,92.27738845,114.21711,155.1562762,0.99958986,272.8482503,272.9872011,275.0450978,278.4303613,283.965754,292.7629433,304.1958281,317.5817313,332.5050741,346.6983697,358.4800811,368.5658509,377.0949323,383.0296847,387.1506275,389.1949684,389.4112726,285.3723357,294.202313,305.0798218,315.6982729,325.0019308,352.4183272,360.7518682,369.5359956,377.9613474,384.4192315,338.3781903,338.825625,339.2491887,339.875817,325.1011771,331.4385131,338.0019691,343.9110083,349.352071,295.362416,303.4121792,312.7879829,320.3271769,311.7886237,302.6050255,352.8338451,360.4337654,368.7687269,375.0456196,369.0040302,360.7726763,312.3618113,321.956566,331.6651491,337.4530354,343.8770495,351.3993196,357.5535501,350.5752198,342.6648874,335.7101507,328.9460327,320.3797076,316.2070998,330.6154232,336.8426873,343.3841034,354.2829752,342.8077362,336.2747432,330.0704846,155.0508587,171.2475116,187.3774787,203.5764511,218.9885229,232.6571219,243.6679134,251.8574625,254.3201291,252.1768304,243.3543385,232.1586491,219.1608138,205.1964515,189.9994298,174.2593338,158.7615771,144.309529,139.7485592,139.4657635,142.2531582,146.4242179,146.1054992,142.110326,140.4173474,141.1539811,145.6113711,161.1654262,171.2249945,181.0833514,190.9687866,199.0302023,201.068839,202.7715502,201.304897,199.7059488,159.8291425,156.0756537,156.703575,162.920385,164.9641212,164.4905904,163.9221026,158.8229471,159.0429356,163.7426093,167.4512691,167.1150272,218.7429321,214.4038319,212.4209163,214.5177824,213.0141186,216.0093832,220.4836083,227.3500299,230.7241458,231.1948523,230.3465041,226.6103388,219.3563875,220.0336322,220.9472899,220.5255574,220.7818352,220.9926793,221.4537308,220.531428,-5.750626848,2.688708484,-2.745873284,0.26760486,0.4201524,0.22586402,0.6736615,0.15184712,0,0.35925317,0.19942783,0.46780092,0.22122669,0.43199813,0.40702784,0.6033387,0,0.37082312,0.48872256,0.052888554,0.18566811,0.072073705,0.02271468,0.003782069,0.000207435,0.000613679,0.00037245,0.013948861,0.081987366,0.8990881,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,10
20,276.1678246,85.94328677,163.2264581,236.9900829,0.999459326,273.9330297,273.1989265,275.7577804,281.4594409,291.6170735,305.9016325,322.7014944,341.2329028,360.8751598,378.8004142,392.6798732,405.9775451,419.1163198,429.7835754,437.2833272,440.4550689,440.7984762,299.155719,313.6374672,330.902986,346.8338201,360.4475915,398.8738331,409.826592,420.936926,431.3170342,438.9946004,378.2371882,378.8903215,379.6062238,380.6885187,355.2429681,365.0118117,375.1406914,383.8366648,391.6648054,312.0558341,324.7367323,338.5370817,349.3891017,336.5714864,323.0634798,396.7291944,407.4131975,418.9604397,427.4455106,419.5250556,407.9102643,336.2369444,350.4427242,365.5459331,373.4410126,381.7163505,390.9904496,395.5446858,388.0488158,377.5107934,367.9082376,358.0891009,345.6910191,341.6504531,363.5993481,372.0613489,380.5369103,391.3049558,377.4845874,368.7216751,359.9452191,168.9003725,193.4816331,218.7262229,243.5581526,266.290872,285.8840393,301.900238,313.8744043,317.5515187,313.8302643,300.5004366,285.3213049,268.8072937,250.7458562,230.4485165,208.5444226,187.140311,159.5328319,154.1098646,155.8276469,161.8641249,169.4157971,170.8502883,165.1056108,162.1361606,162.5175463,168.7960146,190.4931641,205.0656502,219.1382133,233.3554689,242.3178249,245.8464498,248.64173,246.6967893,244.1308032,182.7801621,178.7007024,180.373209,190.0750967,192.3202286,190.792372,192.2222611,184.6245928,184.8945266,191.9354527,197.2693433,196.8684472,270.5018534,264.476724,261.9300789,265.1740143,263.0337997,267.8221611,275.1841193,288.2449709,295.4916464,296.5258009,294.8100866,286.4101429,271.6532739,273.3806335,274.8872252,274.3004714,275.736734,279.5617615,280.4128807,278.5875283,-15.5958659,3.806147246,-6.505296551,0.27931145,0.44197893,0.32172313,0.7219285,0.1152912,0,0.2716558,0.19924785,0.46195498,0.1564616,0.21129258,0.12118111,0.45784578,1,0.32604888,0.39903757,0.9262726,0.35882658,0.011295122,0.021705275,0.018948136,0.000810332,0.004556896,0.010545686,0.003837386,0.03551359,0.9257879,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,20
30,268.185358,91.37822551,167.425826,247.7336859,0.999479473,264.1460464,263.7150379,266.3521738,271.8662143,281.9054879,296.2721409,313.5403637,332.4954456,352.2476565,370.9683387,386.3382315,401.9329113,416.4119134,427.4940915,434.6777591,437.4161165,437.6386354,288.787325,303.8586389,321.9188787,338.6184008,352.9453537,393.5080603,405.01155,416.767079,427.7285355,435.3965245,370.9839494,371.449258,372.00109,372.9917403,347.6555065,357.4331547,367.3398525,375.9426584,383.9268836,302.2725051,315.4572546,329.7496283,340.8267564,327.7086846,313.6625116,390.8498118,402.1057453,414.1706708,422.9808456,414.6342253,402.3999742,328.2652122,342.879448,357.8505504,365.4896216,373.2588232,382.1427634,386.6920858,378.8836005,368.5661517,359.3882307,349.9410296,337.7486847,333.4886829,355.9685842,364.0600643,372.0033935,382.3115396,368.47511,360.1116918,351.6849448,179.0355429,204.3197705,230.2318371,255.6437145,279.2250117,299.4061004,315.5402973,327.2956667,330.5918807,326.0937493,312.2935556,296.9083887,279.8246326,260.729081,239.7210329,217.2680295,195.3555177,171.0832035,165.8300353,167.719798,173.9277349,181.5730433,182.9243698,176.6319472,172.9403184,172.9105234,179.2332814,204.1316537,218.695797,232.7739888,247.0687103,257.8821929,260.9964652,263.3376801,261.5235965,259.2888214,195.6936638,191.3840392,193.1811388,203.4456955,205.7888329,204.1884086,205.1862263,196.5748266,196.6036027,203.8986006,209.8982916,209.7456399,287.5546569,282.281271,279.435765,282.3142289,280.0203068,284.3576179,290.4708806,304.0249179,311.730968,313.1495924,311.6642017,303.7293955,288.5405053,289.5588863,290.9353565,290.0934774,291.1189461,296.7865686,297.9987809,296.4749571,-17.4851456,3.955873034,-5.124130584,0.2851637,0.43211496,0.30934423,0.72544163,0.12776977,0,0.20249203,0.50661755,0.4612488,0.14913455,0.3108673,0.13587473,0.4492047,1,0.36867642,0.3250783,0.9305121,0.38214052,0.014473328,0.030873865,0.21927945,0.003063667,0.012652531,0.012098729,0.012098694,0.00672749,0.7340795,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,30
40,266.4547799,102.5920015,169.3351672,238.7753051,0.999435008,265.8228851,266.8660594,270.2289095,275.7000627,285.2397171,299.0423973,316.0390549,334.6023527,354.4017782,373.2795261,389.1744043,405.3193808,420.0296914,430.8556418,437.6413217,440.683488,441.5385422,288.5308714,303.8067892,321.1425584,337.1033086,351.2705217,394.7887013,406.3113366,417.8810744,429.0089562,437.7179531,372.2630796,372.9407049,373.6555443,374.8261758,349.4495308,359.29367,369.4741539,378.516541,386.5231317,303.8273177,316.6005973,330.4312266,341.479548,328.8191575,315.2537665,392.4389332,402.9515777,414.7365735,424.0079838,415.4913596,403.6103824,329.3566021,344.1562079,359.1387676,366.8205586,374.6016271,383.5216806,388.773349,380.9555786,370.6314642,361.3514804,351.7565172,339.025746,334.5070459,357.495812,365.5566441,373.5188647,384.325448,370.6755439,362.2758223,353.7699746,186.8235946,212.2910376,238.0202349,263.1103361,286.3702496,306.4910079,322.3737433,333.3290635,336.0238694,331.2526716,317.7153151,302.7195366,286.1074792,266.9543911,245.7624156,222.7237374,200.1361121,182.9943296,179.0616455,181.6959762,187.845583,194.6871439,196.4670694,190.6103425,186.7543069,185.545855,190.0684917,214.047019,229.0525493,243.6138839,258.4221913,267.0630618,270.6089255,273.1585296,270.9924413,267.9848932,205.8973955,201.7945579,203.165478,212.2068745,214.8307276,213.6491829,213.7872544,206.0944563,206.109067,212.3311209,218.2481863,218.2784665,294.1544094,290.9756318,289.0604443,291.8257845,289.5173465,292.3099782,296.0675304,310.0342415,318.4549867,320.0914354,318.7430505,310.4534684,295.4709428,298.1342388,299.4382025,298.2966045,297.2082745,304.1641421,305.6617422,304.3277374,-21.60953976,2.9315986,-5.993308566,0.35944417,0.41358292,0.2525709,0.44043455,0.13351853,0,0.21841393,0.43138096,0.46402013,0.1382847,0.18191311,0.09270725,0.39859325,1,0.23498297,0.34173352,0.9082475,0.25701934,0.014900412,0.02627742,0.19284041,0.013812939,0.019109836,0.07799114,0.010155489,0.004524066,0.6815661,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,40
50,265.4623887,102.0776301,172.3544847,237.0975987,0.999599397,264.1148055,265.2244877,269.0292637,274.8803591,285.0377964,299.8637168,317.789472,337.2210695,357.3234281,375.2685331,389.8153836,404.4431265,418.3036818,428.756113,435.6649551,438.9010349,439.5241256,288.4006159,304.8852767,322.6721839,339.0840925,353.670219,394.2023379,405.7795104,417.2638858,428.423132,437.5953289,373.2952371,374.3696456,375.4691696,376.9694578,351.2229319,361.0419106,371.0129396,379.4421828,387.0175804,304.2358917,317.345684,331.3359213,342.2891806,329.5699944,315.8703926,391.9645905,402.4702545,414.3824769,423.6339381,415.1453909,403.346655,331.3986085,346.6769065,361.4063158,368.9205778,376.6605071,385.2874021,390.7782388,383.4030368,373.9075762,365.19075,355.9915212,343.0972551,336.7379969,359.4711935,367.4753709,375.3824436,386.5933285,374.1858828,366.0833629,357.8230946,185.2860384,210.6560508,236.0556814,261.0018998,284.1958769,304.1747011,320.1421687,331.7240557,334.3456936,329.4799997,315.4554044,300.1572564,283.1716149,264.0240307,243.1710615,220.714764,198.5484915,182.9647108,179.5964053,182.0178391,187.8862832,194.6313821,195.3400202,189.483888,185.7280713,184.0212704,187.5155016,212.6025438,227.979939,242.8187139,257.8499004,266.8039596,270.1228141,272.5198361,270.3448014,267.2729142,204.190505,200.0384605,201.372589,210.6776476,213.1728596,212.0288194,211.2656511,203.2531132,203.1593409,209.3001985,215.2068416,215.3408904,292.9662581,289.8875197,288.0162124,290.8064352,288.2305514,290.8832065,294.2144068,305.6032886,312.2912457,313.8659989,312.9148282,306.4987336,294.1162677,297.0551152,298.2138923,296.9641326,295.2389571,298.7649262,300.2005177,299.1346903,-24.09907115,2.90097569,-7.091269542,0.32478318,0.46676338,0.4581204,0.6700954,0.11369866,0,0.19088703,0.28275725,0.46352538,0.11496709,0.21539186,0.167908,0.5518324,1,0.44222227,0.56969374,0.68491983,0.42012495,0.016615665,0.019339582,0.6650671,0.007281127,0.003841485,0.009784382,0.013286352,0.000320375,0.3004192,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,50
60,272.1081326,99.53123671,166.3801089,237.8022119,0.999579728,270.1442719,269.9697559,272.7479961,278.6858467,289.0571837,303.1783796,319.80165,337.8184629,356.9692193,374.6620033,388.9525062,403.3705591,417.0971816,427.8395686,435.0506447,438.234327,438.4229901,296.2771044,310.7963775,327.1954786,342.622808,356.3282033,394.3557871,405.3218246,416.5773204,427.4194818,436.2312522,374.9183791,375.9166848,376.9223383,378.2244407,351.9914595,361.9596081,372.3886565,381.4103001,389.1711391,308.3672798,320.7836016,334.44326,345.6419883,333.3134411,319.9834331,393.6133979,403.5142506,415.0398143,424.2475697,416.2515141,404.709877,332.7999498,346.6708166,361.7484932,369.4553118,377.1708219,386.2688867,390.1476733,383.099713,372.754995,363.3812663,353.5604662,341.268216,337.8975715,359.9353062,368.1474434,376.0574848,386.2171285,372.7117583,364.2104691,355.4867371,182.6610041,207.7956159,233.1489032,257.6362654,280.0932024,299.2503712,314.9181389,326.3178534,329.5217593,324.5743861,310.6586752,294.8866086,277.7969276,258.9931876,238.2738498,215.9911864,194.1741172,178.2474989,173.8884649,175.0482449,179.5960697,185.3086496,186.5535509,181.1405494,177.7395439,176.7687757,180.9562746,203.8198273,219.0816767,233.9908457,249.0976757,257.1799496,260.8516694,263.4789042,261.0255688,257.5100251,198.3952853,193.9377354,194.6645785,203.2767319,206.3813056,205.6406343,203.6964445,195.8205145,195.5206129,201.8624215,207.5632908,207.7247822,284.885216,279.4114331,276.8203253,279.5630508,277.2025161,280.8846454,286.9202166,301.7666907,310.9939554,312.7867147,311.1743182,301.8672475,286.0570469,286.9546087,288.1920941,287.1192722,287.9071603,296.3343075,297.8435618,296.1439265,-19.24806862,2.660717306,-6.778501542,0.33156607,0.4781013,0.37270305,0.51321906,0.15739368,0,0.29616907,0.033170518,0.46485665,0.16216215,0.5643705,0.04340305,0.3928003,1,0.27958027,0.3250783,0.9778455,0.202675,0.013095936,0.019974705,0.23290764,0.026613247,0.65606934,0.000320035,0.06185678,0.005070586,0.0171624,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,60
70,273.7968651,92.62756856,163.3192191,238.576659,0.999632716,271.872217,272.6323604,276.3747605,282.5755678,292.9979074,307.9288229,325.5327636,344.5605693,364.4736214,382.5242893,396.5782004,409.737804,422.4448615,432.2876367,438.7429031,440.9685357,439.9052742,292.6874048,306.9134268,323.457809,339.0221013,352.7229344,391.6782286,402.3773261,413.5333211,424.8697714,434.6805339,373.1185487,374.9872125,376.7544801,378.9302166,353.6688956,363.5686998,373.868509,382.691332,390.4892541,306.5655448,318.4914228,332.3510565,343.8325452,331.1398046,317.6296228,392.7523259,402.8184903,414.6339023,424.0095926,416.1394713,404.3291274,336.4874763,350.628279,364.7871955,372.593957,380.8480258,390.5846608,397.0116003,389.2909114,378.957622,369.7351523,360.2351654,347.6565511,341.9486684,363.1202321,371.4521825,379.9389064,392.6914745,378.8117731,370.2477819,361.7304446,179.529844,204.3097802,228.9662901,253.4728898,276.2328357,295.8261704,311.9165219,323.9623195,326.9005074,322.5429595,307.9413857,291.5558553,273.8260651,254.6253124,233.4470254,210.8505218,188.7914763,173.3931518,168.4465772,169.9155603,175.1286967,181.789119,182.9477786,176.6256653,172.9064599,171.5620636,175.5044704,200.7462101,216.765702,232.3233221,247.9581413,255.289661,259.1804141,262.2413117,259.7383496,256.4790791,194.3472646,189.8818018,190.8702362,200.105871,202.8235963,201.9839885,200.8862144,193.0797345,192.7783016,199.0409031,204.8677924,204.9982237,281.7176022,278.0930868,276.4011412,279.6035362,277.1182868,280.6181643,285.3038594,297.6736745,304.2704382,305.3768213,303.861884,296.3380321,282.9987923,286.6960188,288.1668789,287.3025022,286.35893,289.3125099,290.3249197,288.7142856,-17.60743407,2.470925601,-5.240714832,0.2741726,0.44874147,0.19485378,0.69058716,0.10987509,0,0.29541034,0.7727552,0.46558794,0.14920782,0.46738508,0.27667314,0.5748471,1,0.24950317,0.56641734,0.91957414,0.2950838,0.010378735,0.0143665,0.4828447,0.016552988,0.3716577,0.000585342,0.04813739,0.001335353,0.07888654,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,70
80,269.2750825,94.4697169,164.1186337,241.3339328,0.999426246,265.7305496,266.2245751,269.8055912,276.1679,286.5098889,301.3172763,318.9782479,338.1018509,358.1637657,376.5794208,391.3299832,405.0800318,417.9034977,427.6362662,433.9610873,436.196147,435.3750842,289.1956563,304.0417787,321.1269827,336.8930679,350.599462,387.4899102,398.1961265,409.2176421,419.9791816,428.7922893,368.4460901,369.3649569,370.2537367,371.5538592,348.0838675,357.4102992,367.0593319,375.5225653,383.1125025,302.9519795,314.9327452,328.6145157,339.8837519,327.4326521,314.0961212,388.0204957,398.0557728,409.5364284,418.5922853,410.7903072,399.3148819,331.4323858,344.408159,358.1817005,366.0408488,374.2367353,383.8105595,389.5713767,382.426425,372.4120689,363.2347252,353.8295636,341.6240784,336.7830427,356.899996,365.1276956,373.5791221,385.161897,371.875977,363.3046,354.9014713,183.1657747,207.9147436,232.844648,257.0991598,279.4411957,298.3233268,313.3142563,324.1539733,326.8365042,322.8080387,309.2077168,293.2011869,275.4561084,256.2921652,235.5311145,213.4402859,191.9080584,174.4379908,169.8450382,171.6944577,177.1865817,183.752115,183.6262611,177.5726793,174.0721323,173.2736304,177.7984863,202.415784,217.6484442,232.4921499,247.4471754,255.7536912,259.3081028,262.1258607,259.8004367,256.8646272,196.6304727,192.1675339,193.0986736,202.0332163,204.7823768,203.9689609,202.6584469,195.0349446,194.7786538,201.2114372,206.7653575,206.7699923,283.7997883,278.0245232,275.1208719,278.0765149,275.5915598,279.5433495,285.8229971,298.0516646,304.8258901,306.0600735,304.7954752,297.9507363,284.6762607,286.075102,287.3095098,286.4327613,286.5935526,289.8042005,290.9053665,289.5262206,-16.7036549,2.116646876,-5.427475874,0.20654486,0.4492638,0.43243885,0.7053778,0.12078227,0,0.19179647,0.812004,0.46546978,0.1692791,0.36480722,0.123869136,0.54998714,1,0.4343924,0.4490727,0.48728254,0.30411407,0.054606944,0.02640463,0.6622993,0.01116782,0.14757998,0.0022497,0.014982705,0.001280492,0.16043998,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,80
90,263.7604862,95.34518674,168.6352477,243.6942277,0.999628901,262.5854865,262.8501841,266.2932834,272.4783018,282.6988343,297.1094271,314.0645401,332.4008791,352.1229674,370.7530169,385.4951005,399.9344534,413.3233651,423.3281706,429.7111893,432.0579619,431.4260936,282.5593652,296.8112893,313.8759871,329.7310694,343.5312333,381.8553953,393.391389,405.3608412,417.1767492,426.4464288,362.5595057,363.4701379,364.3172713,365.572746,341.5423584,351.1678006,361.0995205,369.6740422,377.4159674,296.9918157,308.921788,322.5491036,333.6396904,321.1680606,307.8406258,382.9294721,393.5314246,405.3520737,414.6019176,406.4441735,394.4965616,323.7477378,337.418455,351.511022,359.020705,366.8232181,376.2920397,382.2242394,374.7438569,364.5445285,355.3768514,345.9848192,333.5746141,328.8094125,350.1543118,358.082707,366.1750698,377.792045,364.01658,355.6454533,347.3639624,182.2591189,207.5695754,233.1289811,258.0940635,281.3025307,301.5063508,318.0686007,330.1639175,333.1552304,327.8859774,312.5873596,295.2737562,276.7734584,256.7335883,235.0967304,212.2876801,190.0812151,175.6438056,170.4848085,172.3097769,178.1533867,185.3827893,186.1841592,179.4208883,175.0542495,173.7978685,178.859212,204.971666,220.2925249,235.2775007,250.5125326,259.9232588,263.1611242,265.6686397,263.1957235,260.3064654,198.4352425,194.2737244,195.4275974,204.2916201,206.9080406,205.9629834,205.1614827,197.372356,197.0354793,202.9137145,208.9715,209.1541354,288.2337171,284.5531029,282.3339728,285.117167,282.3868914,285.314932,289.3829362,304.2096791,312.8249704,314.5645038,313.203436,304.8623419,289.628931,292.5211174,293.709764,292.4182259,290.6045262,297.4615464,299.12721,297.7099989,-19.03870039,2.122678024,-4.444116786,0.29067913,0.41703388,0.3077437,0.54315346,0.119163,0,0.27789652,0.8274225,0.4631413,0.122588366,0.34103703,0.2467996,0.4565188,1,0.24188097,0.34381393,0.69856334,0.21816465,0.03424883,0.011783849,0.72436875,0.009845633,0.08698005,0.001481684,0.01987695,0.000807145,0.15663978,C:/Users/Public/Desktop/feat/F1_Lorna/F1legit.mp4,90
